chain,reference_residue,score
A,1,2.2225747511457916
A,2,2.760627717261394
A,3,1.8372102200258267
A,4,2.2232880701843287
A,5,1.194414935634653
A,6,2.4441086212780525
A,7,1.6048459374578528
A,8,1.9293454314445997
A,9,1.3719447030711271
A,10,None
A,11,None
A,12,2.495693724472516
A,13,1.7994988522064326
A,14,2.0897966091784133
A,15,None
A,16,1.0321204014205152
A,17,2.174816131460028
A,18,None
A,19,1.4384644612795974
A,20,None
A,21,1.2345689703907163
A,22,1.7075896232398031
A,23,1.4384644612795974
A,24,None
A,25,1.4384644612795974
A,26,None
A,27,None
A,28,None
A,29,1.1457858927369216
A,30,None
A,31,None
A,32,None
A,33,1.0255170379702672
A,34,1.3653559261050496
A,35,1.1343154784872587
A,36,None
A,37,1.3558300011377993
A,38,1.3558300011377993
A,39,1.3558300011377993
A,40,1.8180697080335408
A,41,0.9094673125124151
A,42,1.1823258361505524
A,43,1.2700379997451907
A,44,0.7680154251519737
A,45,None
A,46,None
A,47,None
A,48,None
A,49,1.4384644612795974
A,50,None
A,51,None
A,52,None
A,53,None
A,54,None
A,55,None
A,56,None
A,57,None
A,58,1.0461661444855663
A,59,None
A,60,1.0385942292014934
A,61,0.8612464876153074
A,62,0.7781380350304337
A,63,0.7473316673804922
A,64,1.341197107781193
A,65,1.3314927611804503
A,66,None
A,67,None
A,68,1.9025010581940933
A,69,2.2754160478491183
A,70,None
A,71,2.064878693907177
A,72,1.8307927705745475
A,73,1.5239689697796506
A,74,1.1713834862603518
A,75,2.159521534498431
A,76,1.3964909090920583
A,77,1.3964909090920583
A,78,None
A,79,1.3964909090920583
A,80,None
A,81,None
A,82,None
A,83,None
A,84,None
A,85,2.689979988652338
A,86,2.688587879412223
A,87,3.0337167106472114
A,88,2.9683177197986805
A,89,3.006449864105864
A,90,2.608230113394766
A,91,2.82110869596374
A,92,None
A,93,2.4741457275741494
A,94,None
A,95,2.537374770775242
A,96,None
A,97,2.552580358612303
A,98,2.835796952384927
A,99,None
A,100,2.4965366430350775
A,101,2.8686766722104657
A,102,2.979649538383721
A,103,None
A,104,2.870885622796737
A,105,2.9158786612576897
A,106,2.8212364086852237
A,107,2.648453734837904
A,108,2.5691581777696286
A,109,None
A,110,2.5202510443795334
A,111,2.6114294824530986
A,112,None
A,113,2.6196849189876
A,114,2.629448599786644
A,115,None
A,116,None
A,117,None
A,118,None
A,119,None
A,120,2.706245578439847
A,121,None
A,122,None
A,123,None
A,124,3.082314965922764
A,125,3.0058220783173377
A,126,2.62673770377457
A,127,2.436411907952326
A,128,2.436411907952326
A,129,2.6599425849816853
A,130,1.9221311861697021
A,131,2.6599425849816853
A,132,1.3558300011377993
A,133,None
A,134,1.3558300011377993
A,135,None
A,136,1.9464620198969425
A,137,None
A,138,None
A,139,None
A,140,None
A,141,None
A,142,None
A,143,2.1187364227064047
A,144,2.020167685966179
A,145,2.418444188170574
A,146,2.4895391557885334
A,147,2.280933574555134
A,148,None
A,149,None
A,150,None
A,151,None
A,152,2.5191468985361953
A,153,1.445926010976033
A,154,None
A,155,0.3757808939034743
A,156,None
A,157,None
A,158,None
A,159,0.12291231478337787
A,160,0.12291231478337787
A,161,0.12291231478337787
A,162,-0.4676804721952193
A,163,-0.19831853692780085
A,164,None
A,165,0.19092389501045773
A,166,0.8978514708906461
A,167,0.5037606282562938
A,168,0.9065793805976485
A,169,0.6498002366176239
A,170,1.204548931816417
A,171,1.3964909090920583
A,172,1.3964909090920583
A,173,1.3964909090920583
A,174,1.0897259152250105
A,175,None
